file_path,publishable,flesch_kincaid_grade_level,gunning_fog_index,dale_chall,smog_index,table_count,table_citation_presence,table_density,no_of_columns_per_page_of_table,citation_relevance,title_abstract_consistency,presence_of_opposite_number_of_sections,reference_count,figures_to_text_ratio,equation_density,technical_jargon_score,novelty_score,interdisciplinary_impact_score
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_275.pdf,0,10.3,9.65,7.66,12.5,5,TRUE,0.384615385,1.8,0,0.530801836,1,18,0,0.004116921,0.005901639,0.51159771,0.139339626
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_261.pdf,0,10,9.18,6.98,12.2,0,FALSE,0,0,0,0.522789113,1,36,0,0.007802341,0.01232539,0.499370101,0.088910586
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_260.pdf,0,9,8.92,6.82,12.2,3,TRUE,0.15,2.666666667,0,0.542889524,1,0,0,0.017188946,0.016717635,0.527461652,0.182737964
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_274.pdf,0,10.4,9.75,7.33,12.8,0,FALSE,0,0,0,0.551923104,1,0,0,0.006887801,0.015877598,0.421063885,0.04365487
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_248.pdf,0,12.4,13.43,9.84,14.6,0,FALSE,0,0,0,0,6,0,0,0,0.00921659,0.632581043,0.02700966
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_116.pdf,0,9.3,8.74,6.23,12.6,7,FALSE,0.269230769,11.57142857,0,0.531265829,1,0,0,0.009372385,0.028767485,0.477049931,0.150968987
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_12.pdf,0,9.7,9.32,7.34,13.1,0,FALSE,0,0,0,0.548746556,1,0,0,0.009689575,0.013815403,0.480994185,0.200336622
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_102.pdf,0,10.1,9.14,6.91,12.2,1,FALSE,0.058823529,5,0,0.580083795,1,0,0,0.004979496,0.011855905,0.552105966,0.11259039
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_314.pdf,0,9.5,8.76,7.08,12.6,0,FALSE,0,0,0,0,2,0,0.000681199,0.003746594,0.022129654,0.551579893,0.058090025
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_300.pdf,0,12.4,10.05,6.91,13.9,70,TRUE,5,5.085714286,0,0.49010216,3,145,0,0.004803997,0.016109215,0.468562525,0.100239408
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_328.pdf,0,11.5,9.43,6.62,13.8,12,TRUE,0.857142857,6.666666667,0,0.524733346,0,98,0.026254745,0.000210881,0.002540374,0.484583621,0.154430217
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_316.pdf,0,10.1,9.79,6.32,12.4,2,FALSE,0.1,5,0,0.53728066,1,0,0,0.005575038,0.016521611,0.506141361,0.031400501
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_302.pdf,0,9.5,8.17,6.64,12.4,3,FALSE,0.5,14,0,0.530329846,0,24,0,0.005468216,0.009302326,0.557227258,0.013045116
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_128.pdf,0,12.7,9.87,7.71,14.2,10,FALSE,1.428571429,7.7,0,0.581804901,2,30,0,0,0.000329924,0.31744344,0.301903269
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_38.pdf,0,9.3,8.85,6.18,12.5,3,FALSE,0.0625,5.666666667,0,0.547165319,1,164,0,0.010070053,0.003244259,0.389412668,0.089599446
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_10.pdf,0,11.8,10.94,7.34,13.8,7,TRUE,0.777777778,3,0,0.516714333,3,24,0,0.003348608,0.014669927,0.559412076,0.042704292
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_100.pdf,0,9.3,9.33,8.39,11.8,1,TRUE,0.2,10,0,0.536841605,2,21,0.000764234,0.008024455,0.002994012,0.521735861,0.330512898
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_262.pdf,0,10.3,9.85,7.73,12.5,3,FALSE,0.3,6,0,0.788247168,3,0,0.000876424,0.004820333,0.009758478,0.661709598,0.066241733
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_276.pdf,0,11,10.44,8.04,12.3,4,TRUE,1,4,0,0.519884391,3,19,0.000307787,0.010464758,0.006760019,0.596206385,0.206009274
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_289.pdf,0,8.8,8.14,6.9,12,6,TRUE,0.352941176,4.333333333,0,0.528351733,2,0,0,0.00121374,0.002449133,0.514525135,0.152821176
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_288.pdf,0,10.4,9.14,6.56,12.7,0,FALSE,0,0,0,0.497376654,3,0,0,0.005904378,0.000247709,0.391356068,0.211648104
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_277.pdf,0,6.4,7.11,7.58,10.2,4,FALSE,0.222222222,9.25,0,0.538038537,2,13,0,0.031726663,0.00555115,0.598787029,0.129862318
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_101.pdf,0,9.9,9.21,6.03,12,2,TRUE,0.05,14.5,0,0.552433208,1,0,0,0.014753817,0.002386846,0.455742876,0.156407412
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_11.pdf,0,12.1,11.44,7.21,14.1,12,TRUE,1.333333333,6.166666667,0,0.577491947,3,27,0,0.001221427,0.032285472,0.580804219,0.126800907
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_115.pdf,0,8.3,8.25,6.55,11.2,1,TRUE,0.058823529,10,0,0.55929336,2,21,0,0.003802838,0.010149831,0.546893126,0.234761225
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_39.pdf,0,9.9,8.5,6.48,12.2,0,FALSE,0,0,0,0.561255395,3,28,0,0.008717949,0.007991476,0.424830371,0.25521205
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_129.pdf,0,9.6,8.88,7.42,12.4,7,TRUE,0.875,6.142857143,0,0.781449765,2,0,0,0.001908397,0.035123967,0.595571701,0.179889796
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_303.pdf,0,12.2,9.92,6.74,14.1,4,TRUE,0.129032258,6.75,0,0.559143368,0,0,0,0.00043573,0.011910322,0.490371503,0.085676368
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_317.pdf,0,9.4,9.47,6.84,11.8,3,FALSE,0.3,12.66666667,0,0.819650382,3,48,0,0.006733062,0.010438413,0.406938723,0.085462745
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_370.pdf,0,8.5,7.91,6.01,11.2,1,TRUE,0.055555556,8,0,0.748984367,1,26,0,0.006901768,0.002384738,0.345460313,0.006386103
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_364.pdf,0,10,9.77,6.53,12,3,FALSE,0.166666667,5.666666667,0,0.810957223,2,0,0.000369891,0.018217126,0.014921006,0.48484064,0.028597986
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_358.pdf,0,11.6,11.5,6.85,12.8,0,FALSE,0,0,0,0.529546928,2,34,0,0.022680647,0.014154161,0.535190897,0.108835997
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_76.pdf,0,10.4,8.83,7.16,12.7,7,TRUE,1.4,4,0,0.529528759,0,29,0.000629921,0.000629921,0.021654636,0.480184341,0.124814176
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_172.pdf,0,11.5,9.54,7.3,13.4,5,TRUE,0.833333333,9.6,0,0.821948946,1,15,0,0.005098919,0.006920415,0.576943227,0.032055786
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_166.pdf,0,8.1,8.24,7.14,10.9,7,TRUE,0.7,4.285714286,0,0.591224477,3,49,0,0.012748756,0.015950069,0.532966541,0.035157396
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_62.pdf,0,9.8,9.03,6.05,12.5,6,FALSE,0.230769231,3.333333333,0,0.563136749,2,12,0,0.008422887,0.008454674,0.335641751,0.184159475
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_89.pdf,0,9.7,10.39,8.14,12.5,0,FALSE,0,0,0,0,8,0,0,0.001230012,0.006832298,0.644646198,0.02658685
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_199.pdf,0,9.5,8.47,6.7,12.4,54,TRUE,3.176470588,1.444444444,0,0.746095538,1,0,9.89E-05,0.003462261,0.016018688,0.500840093,0.062400787
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_204.pdf,0,10.7,9.88,7.42,12.9,12,TRUE,1.5,3.416666667,0,0.719476461,2,0,0,0.021305377,0.00906425,0.649674143,0.029446678
/Users/LavanayaMalhotra/Desktop/DataScienceProject/papers/non-publishable/paper_210.pdf,0,17.1,20.27,3.27,9.4,19,FALSE,3.8,3.315789474,0,0,8,0,0.000652863,0.000466331,0,0.65308004,0.028463189
